item_id,level,category,prompt_kr,target_en,allowed_variations,key_word,focus_point,coach_note,active
item_d39_c01,L3,onpitch,우리 잘 했고 득점했어,We played well and we scored.,"We played well and scored,We played good and we scored",and,and + 결과 연결,두 사건을 and로 자연스럽게 연결하는 기본 패턴,TRUE
item_d39_c02,L3,interview,우리 지쳤고 그래서 집중력을 잃었어,We were tired so we lost our focus.,"We were tired so we lost focus,We got tired so we lost our focus",so,so + 결과 표현,원인-결과를 so로 이어주는 인터뷰 표현,TRUE
item_d39_c03,L3,interview,포기하지 않았으니까 3점 받을 자격 있어,We deserved the three points because we didn't give up.,"We deserved the points because we didn't give up,We deserved 3 points because we never gave up",deserved,because + 이유 설명,팀의 노력을 because로 정당화하는 인터뷰 표현,TRUE
item_d39_c04,L3,interview,지쳤지만 포기하지 않았어,We were tired but we didn't give up.,"We were tired but we never gave up,We got tired but we kept going",but,but + 대조,역경과 의지를 대조할 때 but 사용,TRUE
item_d39_c05,L3,onpitch,공 받았을 때 크로스 올렸어,"When I got the ball, I put a cross in.","When I received the ball I put a cross in,When I got the ball I crossed it in",put a cross in,when + 즉각 행동 연결,공 받고 크로스하는 상황을 when으로 설명,TRUE
item_d39_c06,L3,onpitch,공을 잃었을 때 우리 바로 압박했어,"When we lost the ball, we pressed.","When we lost the ball we pressed high,When we gave the ball away we pressed",pressed,when + 수비 전환,공을 잃은 즉시 압박하는 수비 전환 표현,TRUE
item_d39_c07,L3,interview,득점했을 때 안도감이 느껴졌어,"When we scored, I felt relieved.","When we scored I was relieved,When we got the goal I felt relieved",relieved,when + 긍정 감정 표현,득점 후 감정을 when으로 연결하는 인터뷰 표현,TRUE
item_d39_c08,L3,interview,실점했을 때 너무 답답했어,"When we conceded, I was frustrated.","When we conceded I felt frustrated,When they scored I was frustrated",frustrated,when + 부정 감정 표현,실점 후 감정을 솔직하게 표현하는 인터뷰 표현,TRUE
item_d39_c09,L3,life,도착하면 전화할게,I'll call you when I arrive.,"I'll call you when I get there,I'll ring you when I arrive",when I arrive,when + 미래 조건 (will 쓰면 안 됨),when절에서 미래도 현재시제를 쓴다는 점 강조,TRUE
item_d39_c10,L3,life,전화 받았을 때 이미 버스 타고 있었어,"I was already on the bus when I got the phone call.","I was on the bus when I got the call,I was already on the bus when I received the call",on the bus,when + 과거 상황 설명,두 과거 사건이 겹칠 때 when을 활용하는 패턴,TRUE
item_d39_c11,L3,life,음악 들으면 기분이 나아져,I feel better when I listen to music.,"I feel better when I'm listening to music,I feel good when I listen to music",feel better,when + 일반 사실/습관,현재 일반 사실을 when으로 표현하는 패턴,TRUE
item_d39_c12,L3,onpitch,공간이 보이자마자 침투 달렸어,"As soon as I saw the space, I made a run.","As soon as I spotted the space I made a run,The moment I saw the space I made a run",made a run,as soon as + 즉각 반응,공간을 보고 즉시 움직이는 상황을 표현 (기존 d39_01과 동일),TRUE
item_d39_c13,L3,onpitch,공을 잃자마자 바로 되찾으려 했어,"As soon as we lost the ball, we tried to win it back.","As soon as we lost it we tried to win it back,The moment we lost the ball we tried to win it back",win it back,as soon as + 즉각 전환 압박,수비 전환 시 즉각 대응 표현 (기존 d39_02와 동일),TRUE
item_d39_c14,L3,interview,피치에 발을 딛는 순간 팬들의 에너지가 느껴졌어,"As soon as I stepped onto the pitch, I felt the energy from the fans.","As soon as I stepped on the pitch I felt the energy from the fans,The moment I stepped onto the pitch I felt the energy from the fans",stepped onto the pitch,as soon as + 감각/감정 표현,경기 시작 순간의 감정을 생생하게 전달하는 인터뷰 표현,TRUE
item_d39_c15,L3,life,도착하자마자 전화할게,I'll call you as soon as I arrive.,"I'll call you as soon as I get there,I'll ring you as soon as I arrive",as soon as I arrive,as soon as vs when 차이 (즉각성 강조),when보다 즉각성이 강한 as soon as 패턴,TRUE
item_d39_c16,L3,life,집에 오자마자 문자 보낼게,I'll text you as soon as I get home.,"I'll message you as soon as I get home,I'll text you as soon as I'm home",as soon as I get home,as soon as + 귀가 후 즉시 행동,귀가 직후 행동을 약속하는 일상 표현,TRUE
item_d39_c17,L3,life,일어나자마자 핸드폰 확인했어,"As soon as I woke up, I checked my phone.","As soon as I got up I checked my phone,The moment I woke up I checked my phone",woke up,as soon as + 과거 즉각 행동,기상 직후 행동을 as soon as로 표현,TRUE
item_d39_c18,L3,life,가능한 한 빨리 다시 전화할게,I will call you back as soon as possible.,"I'll call you back as soon as possible,I'll get back to you as soon as possible",as soon as possible,ASAP 표현 / call back,공식·비공식 상황 모두 쓰이는 매우 실용적인 표현,TRUE
item_d39_c19,L3,life,최대한 빨리 끝낼게,I'll finish it as soon as possible.,"I'll get it done as soon as possible,I'll complete it as soon as possible",as soon as possible,ASAP + 다양한 동사,finish 외에 get it done / complete it 등 다양하게 활용,TRUE
item_d39_c20,L3,interview,경기 끝나고 라커룸에서 얘기했어,"After the game, we spoke in the dressing room.","After the match we spoke in the dressing room,After the game we talked in the changing room",dressing room,after + 경기 후 상황,경기 후 팀 분위기를 전달하는 인터뷰 표현,TRUE
item_d39_c21,L3,interview,10분 지나고 안정되면서 해볼 수 있겠다 싶었어,"After 10 minutes, we settled down and felt like we could have a go.","After the first 10 minutes we settled and felt we could have a go,Once we settled down we thought we could have a go",have a go,after + 시간 경과 + 판단,경기 흐름 전환점을 설명하는 인터뷰 표현 (기존 d39_06과 동일),TRUE
item_d39_c22,L3,life,일 끝나고 영화 보러 갈 거야,I'm going to go to the movies after work.,"I'm going to the cinema after work,I'll go to the movies after work",after work,after + 명사 패턴,after 뒤에 명사가 바로 오는 가장 기본적인 패턴,TRUE
item_d39_c23,L3,life,미팅 끝나고 시간 있어,I have some time after the meeting.,"I've got some time after the meeting,I have time after the meeting",after the meeting,after + the + 명사,일정 후 여유를 간단히 표현하는 패턴,TRUE
item_d39_c24,L3,life,훈련 끝나고 영화 보러 갈 거야,I'm going to go to the movies after training.,"I'll go to the cinema after training,I'm going to the movies after training",after training,after + 스포츠/훈련 맥락,선수 일상과 연결되는 after 사용 예시,TRUE
item_d39_c25,L3,life,자기 전에 샤워할 거야,I'm going to take a shower before bed.,"I'm going to shower before bed,I'll take a shower before I go to bed",before bed,before + 명사 (가장 짧은 형태),before + 명사로 간단하게 쓰는 패턴,TRUE
item_d39_c26,L3,life,저녁 먹기 전에 달리기 할 거야,I'm going to go for a run before dinner.,"I'm going for a run before dinner,I'll go for a run before dinner",before dinner,before + 식사/행사 명사,before + meal/event 명사 패턴,TRUE
item_d39_c27,L3,life,훈련 전에 같이 산책할래?,Do you want to go for a walk before training?,"Do you want to go for a walk before the training,Do you fancy a walk before training",before training,before + 훈련 맥락 + 제안,Do you want to...? + before 제안 패턴,TRUE
item_d39_c28,L3,life,아침에 나가기 전에 항상 날씨 확인해,I always check the weather before I leave in the morning.,"I always check the weather before leaving in the morning,I always look at the weather before I leave in the morning",before I leave,before + 절 (주어+동사),before 뒤에 절이 오는 경우 — before + noun vs before + clause 구분 포인트,TRUE
